run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T061808Z_b8ff2d8d,1,normal,1789798688.963797,1789798688.9813852,17.518,0,17.518,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T061808Z_b8ff2d8d,2,normal,1789798688.981934,1789798688.9934592,11.56,0,11.56,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T061808Z_b8ff2d8d,3,normal,1789798688.9934592,1789798689.0026343,9.271,0,9.271,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T061808Z_b8ff2d8d,4,normal,1789798689.0031881,1789798689.0196643,16.325,0,16.325,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T061808Z_b8ff2d8d,5,normal,1789798689.0196643,1789798689.0296094,9.901,0,9.901,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T061808Z_b8ff2d8d,6,normal,1789798689.0296094,1789798689.0390313,9.627,0,9.627,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T061808Z_b8ff2d8d,7,normal,1789798689.0395896,1789798689.04949,10.329,0,10.329,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T061808Z_b8ff2d8d,8,normal,1789798689.04949,1789798689.059433,9.965,0,9.965,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T061808Z_b8ff2d8d,9,normal,1789798689.0600798,1789798689.0701582,10.37,0,10.37,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T061808Z_b8ff2d8d,10,normal,1789798689.0701582,1789798689.080148,10.069,0,10.069,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T061808Z_b8ff2d8d,11,normal,1789798689.0808182,1789798689.0906527,9.913,0,9.913,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T061808Z_b8ff2d8d,12,normal,1789798689.0906527,1789798689.1004193,10.21,0,10.21,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T061808Z_b8ff2d8d,13,normal,1789798689.1010702,1789798689.1094973,8.876,0,8.876,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T061808Z_b8ff2d8d,14,normal,1789798689.1100872,1789798689.1186678,9.087,0,9.087,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T061808Z_b8ff2d8d,15,normal,1789798689.119269,1789798689.1283538,9.525,0,9.525,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T061808Z_b8ff2d8d,16,normal,1789798689.1283538,1789798689.13807,9.136,0,9.136,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T061808Z_b8ff2d8d,17,normal,1789798689.13807,1789798689.1471438,9.52,0,9.52,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T061808Z_b8ff2d8d,18,normal,1789798689.1477475,1789798689.1569877,9.632,0,9.632,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T061808Z_b8ff2d8d,19,normal,1789798689.1569877,1789798689.166273,9.286,0,9.286,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T061808Z_b8ff2d8d,20,normal,1789798689.1668537,1789798689.1766896,10.181,0,10.181,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T061808Z_b8ff2d8d,21,normal,1789798689.1766896,1789798689.1859534,9.395,0,9.395,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T061808Z_b8ff2d8d,22,normal,1789798689.186586,1789798689.195949,9.81,0,9.81,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T061808Z_b8ff2d8d,23,normal,1789798689.1965215,1789798689.2064157,10.267,0,10.267,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T061808Z_b8ff2d8d,24,normal,1789798689.2064157,1789798689.2155678,9.02,0,9.02,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T061808Z_b8ff2d8d,25,normal,1789798689.216109,1789798689.2252362,9.585,0,9.585,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T061808Z_b8ff2d8d,26,normal,1789798689.2257934,1789798689.2347035,8.996,0,8.996,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T061808Z_b8ff2d8d,27,normal,1789798689.2347035,1789798689.2436411,8.982,0,8.982,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T061808Z_b8ff2d8d,28,normal,1789798689.2436411,1789798689.2531934,9.336,0,9.336,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T061808Z_b8ff2d8d,29,normal,1789798689.2531934,1789798689.2617595,8.578,0,8.578,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T061808Z_b8ff2d8d,30,normal,1789798689.2617595,1789798689.269828,8.086,0,8.086,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260919T061808Z_b8ff2d8d,31,normal,1789798689.269828,1789798689.2781763,7.831,0,7.831,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260919T061808Z_b8ff2d8d,32,normal,1789798689.2781763,1789798689.28662,8.477,0,8.477,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260919T061808Z_b8ff2d8d,33,normal,1789798689.28662,1789798689.2955718,8.974,0,8.974,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260919T061808Z_b8ff2d8d,34,normal,1789798689.2955718,1789798689.3065872,10.898,0,10.898,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260919T061808Z_b8ff2d8d,35,normal,1789798689.3065872,1789798689.3153853,8.667,0,8.667,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260919T061808Z_b8ff2d8d,36,normal,1789798689.3153853,1789798689.3248703,9.585,0,9.585,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260919T061808Z_b8ff2d8d,37,normal,1789798689.3248703,1789798689.3356354,10.445,0,10.445,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260919T061808Z_b8ff2d8d,38,normal,1789798689.3356354,1789798689.3456216,9.726,0,9.726,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260919T061808Z_b8ff2d8d,39,normal,1789798689.3456216,1789798689.354702,9.393,0,9.393,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260919T061808Z_b8ff2d8d,40,normal,1789798689.354702,1789798689.363981,8.989,0,8.989,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260919T061808Z_b8ff2d8d,41,normal,1789798689.363981,1789798689.3734746,9.571,0,9.571,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260919T061808Z_b8ff2d8d,42,normal,1789798689.3734746,1789798689.382986,9.139,0,9.139,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260919T061808Z_b8ff2d8d,43,normal,1789798689.382986,1789798689.3916848,8.886,0,8.886,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260919T061808Z_b8ff2d8d,44,normal,1789798689.3916848,1789798689.4022899,10.419,0,10.419,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260919T061808Z_b8ff2d8d,45,normal,1789798689.4022899,1789798689.4130833,10.459,0,10.459,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260919T061808Z_b8ff2d8d,46,normal,1789798689.4130833,1789798689.4232597,10.105,0,10.105,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260919T061808Z_b8ff2d8d,47,normal,1789798689.4232597,1789798689.4334567,10.04,0,10.04,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
