run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T144745Z_809a9e53,1,normal,1789742866.997782,1789742867.0259495,28.18,0,28.18,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144745Z_809a9e53,2,normal,1789742867.0265574,1789742867.0382338,11.476,0,11.476,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144745Z_809a9e53,3,normal,1789742867.0382338,1789742867.0482368,9.851,0,9.851,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144745Z_809a9e53,4,normal,1789742867.0488005,1789742867.0606868,12.111,0,12.111,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T144745Z_809a9e53,5,normal,1789742867.0606868,1789742867.0715475,10.709,0,10.709,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T144745Z_809a9e53,6,normal,1789742867.0715475,1789742867.081515,10.081,0,10.081,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T144745Z_809a9e53,7,normal,1789742867.081515,1789742867.0919437,10.323,0,10.323,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T144745Z_809a9e53,8,normal,1789742867.0924547,1789742867.104012,11.603,0,11.603,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T144745Z_809a9e53,9,normal,1789742867.104012,1789742867.113997,9.777,0,9.777,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T144745Z_809a9e53,10,normal,1789742867.113997,1789742867.125345,11.481,0,11.481,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T144745Z_809a9e53,11,normal,1789742867.125345,1789742867.1367314,11.161,0,11.161,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T144745Z_809a9e53,12,normal,1789742867.1367314,1789742867.147957,10.992,0,10.992,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T144745Z_809a9e53,13,normal,1789742867.147957,1789742867.1588645,10.774,0,10.774,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T144745Z_809a9e53,14,normal,1789742867.1588645,1789742867.1690724,10.552,0,10.552,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T144745Z_809a9e53,15,normal,1789742867.169681,1789742867.1793885,9.815,0,9.815,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T144745Z_809a9e53,16,normal,1789742867.1793885,1789742867.1884658,9.263,0,9.263,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T144745Z_809a9e53,17,normal,1789742867.1884658,1789742867.1984901,9.641,0,9.641,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T144745Z_809a9e53,18,normal,1789742867.1984901,1789742867.2083457,9.638,0,9.638,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T144745Z_809a9e53,19,normal,1789742867.2083457,1789742867.2193422,10.819,0,10.819,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T144745Z_809a9e53,20,normal,1789742867.2193422,1789742867.2287097,9.504,0,9.504,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T144745Z_809a9e53,21,normal,1789742867.2287097,1789742867.238875,10.039,0,10.039,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T144745Z_809a9e53,22,normal,1789742867.238875,1789742867.2489483,10.315,0,10.315,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T144745Z_809a9e53,23,normal,1789742867.2495449,1789742867.25942,10.11,0,10.11,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T144745Z_809a9e53,24,normal,1789742867.25942,1789742867.270068,10.688,0,10.688,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T144745Z_809a9e53,25,normal,1789742867.270068,1789742867.2799044,9.734,0,9.734,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T144745Z_809a9e53,26,normal,1789742867.2804148,1789742867.2922964,12.225,0,12.225,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T144745Z_809a9e53,27,normal,1789742867.2928088,1789742867.3023562,9.918,0,9.918,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T144745Z_809a9e53,28,normal,1789742867.3023562,1789742867.3132956,10.521,0,10.521,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T144745Z_809a9e53,29,normal,1789742867.3132956,1789742867.323491,10.281,0,10.281,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T144745Z_809a9e53,30,normal,1789742867.323491,1789742867.3342125,10.232,0,10.232,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T144745Z_809a9e53,31,normal,1789742867.3342125,1789742867.343425,9.676,0,9.676,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T144745Z_809a9e53,32,normal,1789742867.343425,1789742867.3529892,9.431,0,9.431,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T144745Z_809a9e53,33,normal,1789742867.3536139,1789742867.3636405,10.035,0,10.035,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T144745Z_809a9e53,34,normal,1789742867.3636405,1789742867.3726187,8.892,0,8.892,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T144745Z_809a9e53,35,normal,1789742867.3726187,1789742867.3821583,9.508,0,9.508,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T144745Z_809a9e53,36,normal,1789742867.3821583,1789742867.3913498,9.158,0,9.158,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T144745Z_809a9e53,37,normal,1789742867.3913498,1789742867.401454,9.797,0,9.797,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T144745Z_809a9e53,38,normal,1789742867.401454,1789742867.411441,9.932,0,9.932,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260918T144745Z_809a9e53,39,normal,1789742867.411441,1789742867.4207861,9.588,0,9.588,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T144745Z_809a9e53,40,normal,1789742867.4207861,1789742867.4318366,10.63,0,10.63,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
