run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T142002Z_84d1fc41,1,normal,1789741204.029998,1789741204.0718594,41.618,0,41.618,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T142002Z_84d1fc41,2,normal,1789741204.0725331,1789741204.0828164,10.359,0,10.359,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T142002Z_84d1fc41,3,normal,1789741204.0828164,1789741204.0992634,16.427,0,16.427,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T142002Z_84d1fc41,4,normal,1789741204.0997975,1789741204.1105437,10.306,0,10.306,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T142002Z_84d1fc41,5,normal,1789741204.1105437,1789741204.1209838,10.303,0,10.303,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T142002Z_84d1fc41,6,normal,1789741204.1209838,1789741204.1323543,11.72,0,11.72,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T142002Z_84d1fc41,7,normal,1789741204.1323543,1789741204.1423144,9.299,0,9.299,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T142002Z_84d1fc41,8,normal,1789741204.1423144,1789741204.152087,9.94,0,9.94,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T142002Z_84d1fc41,9,normal,1789741204.152087,1789741204.1617832,9.361,0,9.361,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T142002Z_84d1fc41,10,normal,1789741204.1617832,1789741204.1708798,9.117,0,9.117,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T142002Z_84d1fc41,11,normal,1789741204.1708798,1789741204.1804163,9.753,0,9.753,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T142002Z_84d1fc41,12,normal,1789741204.1804163,1789741204.1902568,9.281,0,9.281,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T142002Z_84d1fc41,13,normal,1789741204.1902568,1789741204.2004662,10.083,0,10.083,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T142002Z_84d1fc41,14,normal,1789741204.2004662,1789741204.209995,9.798,0,9.798,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T142002Z_84d1fc41,15,normal,1789741204.209995,1789741204.2195194,9.205,0,9.205,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T142002Z_84d1fc41,16,normal,1789741204.2195194,1789741204.2299545,10.318,0,10.318,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T142002Z_84d1fc41,17,normal,1789741204.2299545,1789741204.2406335,11.237,0,11.237,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T142002Z_84d1fc41,18,normal,1789741204.2414856,1789741204.2519913,10.604,0,10.604,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T142002Z_84d1fc41,19,normal,1789741204.2519913,1789741204.2610078,9.192,0,9.192,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T142002Z_84d1fc41,20,normal,1789741204.2610078,1789741204.2707596,9.672,0,9.672,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T142002Z_84d1fc41,21,normal,1789741204.2713933,1789741204.2814224,10.051,0,10.051,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T142002Z_84d1fc41,22,normal,1789741204.2814224,1789741204.2910955,9.874,0,9.874,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T142002Z_84d1fc41,23,normal,1789741204.2910955,1789741204.3008952,9.868,0,9.868,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T142002Z_84d1fc41,24,normal,1789741204.3014688,1789741204.3120525,10.602,0,10.602,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T142002Z_84d1fc41,25,normal,1789741204.3120525,1789741204.3211977,9.371,0,9.371,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T142002Z_84d1fc41,26,normal,1789741204.3217869,1789741204.3308535,9.593,0,9.593,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T142002Z_84d1fc41,27,normal,1789741204.3314548,1789741204.3418984,10.826,0,10.826,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T142002Z_84d1fc41,28,normal,1789741204.3424106,1789741204.3529344,10.416,0,10.416,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T142002Z_84d1fc41,29,normal,1789741204.3529344,1789741204.3627484,10.002,0,10.002,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T142002Z_84d1fc41,30,normal,1789741204.3627484,1789741204.373305,10.475,0,10.475,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T142002Z_84d1fc41,31,normal,1789741204.373305,1789741204.3832858,9.692,0,9.692,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T142002Z_84d1fc41,32,normal,1789741204.3832858,1789741204.3926182,9.253,0,9.253,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T142002Z_84d1fc41,33,normal,1789741204.3926182,1789741204.4018734,9.564,0,9.564,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T142002Z_84d1fc41,34,normal,1789741204.4018734,1789741204.4113705,8.934,0,8.934,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T142002Z_84d1fc41,35,normal,1789741204.4113705,1789741204.4206023,9.806,0,9.806,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T142002Z_84d1fc41,36,normal,1789741204.4214234,1789741204.4302928,9.504,0,9.504,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T142002Z_84d1fc41,37,normal,1789741204.4310462,1789741204.4399796,9.102,0,9.102,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T142002Z_84d1fc41,38,normal,1789741204.4399796,1789741204.4496756,9.706,0,9.706,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260918T142002Z_84d1fc41,39,normal,1789741204.4500275,1789741204.459325,9.843,0,9.843,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T142002Z_84d1fc41,40,normal,1789741204.459325,1789741204.469168,9.255,0,9.255,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260918T142002Z_84d1fc41,41,normal,1789741204.469168,1789741204.479026,9.71,0,9.71,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260918T142002Z_84d1fc41,42,normal,1789741204.479026,1789741204.4883173,9.741,0,9.741,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260918T142002Z_84d1fc41,43,normal,1789741204.488907,1789741204.4979863,9.436,0,9.436,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260918T142002Z_84d1fc41,44,normal,1789741204.4979863,1789741204.5082257,9.806,0,9.806,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260918T142002Z_84d1fc41,45,normal,1789741204.5082257,1789741204.5177636,9.602,0,9.602,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260918T142002Z_84d1fc41,46,normal,1789741204.5177636,1789741204.5265248,8.972,0,8.972,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260918T142002Z_84d1fc41,47,normal,1789741204.527078,1789741204.5364804,10.155,0,10.155,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260918T142002Z_84d1fc41,48,normal,1789741204.5364804,1789741204.5465565,9.378,0,9.378,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260918T142002Z_84d1fc41,49,normal,1789741204.5465565,1789741204.5578218,11.004,0,11.004,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260918T142002Z_84d1fc41,50,normal,1789741204.5578218,1789741204.5679646,10.327,0,10.327,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260918T142002Z_84d1fc41,51,normal,1789741204.5685363,1789741204.577924,9.68,0,9.68,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260918T142002Z_84d1fc41,52,normal,1789741204.577924,1789741204.5874212,9.604,0,9.604,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260918T142002Z_84d1fc41,53,normal,1789741204.588047,1789741204.5974264,9.441,0,9.441,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260918T142002Z_84d1fc41,54,normal,1789741204.5974264,1789741204.6076772,10.188,0,10.188,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260918T142002Z_84d1fc41,55,normal,1789741204.6076772,1789741204.617857,10.122,0,10.122,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260918T142002Z_84d1fc41,56,normal,1789741204.617857,1789741204.629449,11.384,0,11.384,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260918T142002Z_84d1fc41,57,normal,1789741204.629449,1789741204.6399846,10.777,0,10.777,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260918T142002Z_84d1fc41,58,normal,1789741204.6399846,1789741204.6492448,9.303,0,9.303,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260918T142002Z_84d1fc41,59,normal,1789741204.6498728,1789741204.6613226,11.443,0,11.443,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260918T142002Z_84d1fc41,60,normal,1789741204.6613226,1789741204.6710365,9.826,0,9.826,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
20260918T142002Z_84d1fc41,61,normal,1789741204.6710365,1789741204.6802108,9.2,0,9.2,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 61}"
20260918T142002Z_84d1fc41,62,normal,1789741204.6802108,1789741204.6902769,10.033,0,10.033,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 62}"
20260918T142002Z_84d1fc41,63,normal,1789741204.6902769,1789741204.6999283,9.484,0,9.484,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 63}"
20260918T142002Z_84d1fc41,64,normal,1789741204.6999283,1789741204.7104805,10.736,0,10.736,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 64}"
20260918T142002Z_84d1fc41,65,normal,1789741204.7111201,1789741204.7210424,10.297,0,10.297,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 65}"
20260918T142002Z_84d1fc41,66,normal,1789741204.7210424,1789741204.7317955,10.233,0,10.233,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 66}"
20260918T142002Z_84d1fc41,67,normal,1789741204.7317955,1789741204.7417233,9.875,0,9.875,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 67}"
20260918T142002Z_84d1fc41,68,normal,1789741204.7417233,1789741204.75227,10.516,0,10.516,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 68}"
20260918T142002Z_84d1fc41,69,normal,1789741204.75227,1789741204.762981,10.795,0,10.795,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 69}"
20260918T142002Z_84d1fc41,70,normal,1789741204.762981,1789741204.7732086,10.583,0,10.583,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 70}"
20260918T142002Z_84d1fc41,71,normal,1789741204.7740285,1789741204.7831082,9.41,0,9.41,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 71}"
20260918T142002Z_84d1fc41,72,normal,1789741204.7831082,1789741204.79333,9.77,0,9.77,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 72}"
20260918T142002Z_84d1fc41,73,normal,1789741204.79333,1789741204.8029158,9.459,0,9.459,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 73}"
20260918T142002Z_84d1fc41,74,normal,1789741204.8029158,1789741204.812416,9.639,0,9.639,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 74}"
20260918T142002Z_84d1fc41,75,normal,1789741204.812416,1789741204.8223748,9.552,0,9.552,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 75}"
20260918T142002Z_84d1fc41,76,normal,1789741204.8223748,1789741204.8318934,9.46,0,9.46,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 76}"
20260918T142002Z_84d1fc41,77,normal,1789741204.8318934,1789741204.8417907,9.763,0,9.763,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 77}"
20260918T142002Z_84d1fc41,78,normal,1789741204.8417907,1789741204.8509614,9.025,0,9.025,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 78}"
20260918T142002Z_84d1fc41,79,normal,1789741204.8509614,1789741204.8597257,9.152,0,9.152,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 79}"
